prompt,completion,prompt_translated,completion_translated
What are the symptoms of diabetes?,"Common symptoms of diabetes include increased thirst, frequent urination, unexplained weight loss, fatigue, blurred vision, slow-healing sores, and frequent infections. Type 1 diabetes symptoms may appear suddenly, while Type 2 diabetes symptoms develop gradually over time.",Kí ni àwọn àmì àrùn àtọ̀gbẹ?,"Àwọn àmì tó sábà máa ń jẹ́ àmì àtọ̀gbẹ̣ ni òùngbẹ tó ń pọ̀ sí i, tí wọ́n máa ń fi bẹ́ẹ̀ ṣe ìwẹ̀, tí wọn kì í fi bẹ́ẹ̀ dín kù, tí wọn kì í rí nǹkan tó pọ̀ sí i, tí ìdààmú ọkàn, ojú tí kò mọ nǹkan, tí wọ́n máa ń ní àwọn ọgbẹ́ tó ń tètè yá gágá, àti àwọn àìsàn tó máa ń ṣe wọ́n."
How can I lower my blood pressure naturally?,"Natural ways to lower blood pressure include maintaining a healthy weight, exercising regularly, eating a diet rich in fruits and vegetables, reducing sodium intake, limiting alcohol consumption, managing stress through relaxation techniques, getting adequate sleep, and avoiding tobacco use.",Báwo ni mo ṣe lè dín ìsoríkọ́ ẹ̀jẹ̀ mi kù lọ́nà tó ṣeé ṣe?,"Àwọn ọ̀nà tó ṣe kedere láti dín ìsoríkọ́ ẹ̀jẹ̀ kù ni pé kéèyàn máa lo ara rẹ̀ dáadáa, kó máa ṣe eré ìmárale déédéé, kó máa jẹ oúnjẹ tó ní èso àti ewéko, kó má máa mu sọ́dọ́, kó má máa mu ọtí àmujù, kó má ṣe máa mu àmujù, kó má sì máa mu tábà."
What is the difference between a heart attack and cardiac arrest?,"A heart attack occurs when blood flow to part of the heart is blocked, usually by a blood clot, causing heart muscle damage. Cardiac arrest happens when the heart suddenly stops beating effectively, often due to electrical problems. Heart attack patients are usually conscious, while cardiac arrest patients lose consciousness immediately.",Kí ni ìyàtọ̀ tó wà láàárín àrùn ọkàn àti ìfaradà?,"Ọkàn-àyà máa ń kọ lù nígbà tí ẹ̀jẹ̀ bá ń ṣàn lọ sí apá kan ọkàn, èyí tó sábà máa ń jẹ́ pé ìdọ̀tí kan ló ń mú kí ẹ̀jẹ̀ náà di ìdọ̀tí."
How often should I get a mammogram?,Most medical organizations recommend women aged 50-74 get mammograms every 2 years. Women aged 40-49 should discuss with their doctor about starting earlier screening based on risk factors. Those with family history or genetic predisposition may need more frequent screening starting at an earlier age.,Báwo ni mo ṣe lè máa ṣe àyẹ̀wò mammogram?,Ọ̀pọ̀ àwọn àjọ ìṣègùn ló rọ̀ wá pé kí àwọn obìnrin tó jẹ́ ẹni ọdún 50 sí 74 máa ṣe ìwádìí nípa àbùdá wọn lọ́dọọdún. Àwọn obìnrin tó jẹ́ ẹni ọdún 40 sí 49 gbọ́dọ̀ bá dókítà wọn sọ̀rọ̀ nípa bí wọ́n ṣe lè bẹ̀rẹ̀ ìwádìí nípa àbùdá wọn ṣáájú ìgbà tí wọ́n bá ti ń ṣe ìwádìí nípa àbùdá wọn.
What are the early signs of stroke?,"Remember the acronym FAST: Face drooping, Arm weakness, Speech difficulty, Time to call emergency services. Other signs include sudden confusion, trouble seeing, severe headache, and difficulty walking. Seek immediate medical attention if any of these symptoms occur.",Kí ni àwọn àmì ìkórè tó ń kọ́kọ́ yọ?,"Rántí àwọn àmì tó ń jẹ́ FAST: Ojú tó ń ṣubú, apá tó ń rẹ̀wẹ̀sì, ọ̀rọ̀ tó ń ṣòro láti sọ, àkókò tó yẹ kó o pe àwọn oníṣègùn tó ń ṣe pàjáwìrì."
How much water should I drink daily?,"The general recommendation is about 8 glasses (64 ounces) of water per day, but individual needs vary based on activity level, climate, overall health, and pregnancy or breastfeeding status. A good indicator is pale yellow urine, which suggests adequate hydration.",Omi melo ni mo yẹ kí n mu lójoojúmọ́?,"Ìmọ̀ràn tó gbòòrò ni pé kí wọ́n máa mu omi tó ń mú kí ara máa tútù tó ìgò méjì (8), àmọ́ àwọn èèyàn máa ń nílò omi tó ń mú kí ara máa tútù tó bá bá ti ń ṣiṣẹ́, bá a ṣe ń rí ojú ọjọ́, bá a ṣe ń rí ìlera tó dára tó bá ti ń ṣiṣẹ́, bá a ṣe ń lo oyún tàbí tó ń fún ọmọ lóúnjẹ."
What foods help boost immune system?,"Foods that support immune function include citrus fruits (vitamin C), leafy greens, berries, yogurt with probiotics, garlic, ginger, nuts and seeds, fish rich in omega-3 fatty acids, and colorful vegetables like bell peppers and sweet potatoes. A balanced diet with variety is key.",Àwọn oúnjẹ wo ló máa ń mú kí ẹ̀yà ara máa dáàbò bo ara?,"Àwọn oúnjẹ tó ń ran àwọn èèyàn lọ́wọ́ láti ní agbára ìṣègùn lọ́wọ́ ni àwọn èso àjàrà (vítamín C), ewéko, èso èso, yógùtì tó ní àwọn èròjà tó ń mú kí ara máa le koko, ọ̀pọ̀ nǹkan bí ọ̀pọ̀lọpọ̀ èròjà, ọ̀pọ̀lọpọ̀ èròjà, ìbílẹ̀, ọ̀pọ̀lọpọ̀ èròjà, àwọn ẹja tó ní àwọn èròjà òwú omega-3 àti àwọn ewéko aláwọ̀ dídùn bíi àdàbà àti poteto."
When should I see a doctor for a persistent cough?,"See a doctor if your cough lasts more than 3 weeks, produces blood, is accompanied by fever over 101°F, causes shortness of breath, or occurs with chest pain. Also seek care if you have underlying conditions like asthma, COPD, or if you're immunocompromised.",Ìgbà wo ló yẹ kí n lọ rí dókítà fún ọgbẹ tó ń bá mi fínra?,"Wá dókítà tó bá ń ṣòfò tó ju ọ̀sẹ̀ mẹ́ta lọ, tó ń fa ẹ̀jẹ̀, tó ń mú kí ẹ̀jẹ̀ túbọ̀ máa gbóná, tó ń fa ẹ̀dùn ọkàn tàbí tó ń fa ìrora àyà."
What is a normal resting heart rate?,"A normal resting heart rate for adults ranges from 60-100 beats per minute. Athletes and very fit individuals may have rates as low as 40-60 bpm. Factors affecting heart rate include age, fitness level, medications, stress, and underlying health conditions.",Kí ni ìsọfúnni tó máa ń jẹ́ kí ọkàn èèyàn máa ń ṣiṣẹ́ dáadáa?,Àwọn tó ń ṣe eré ìdárayá àtàwọn tó ní ìlera tó dáa lè ní ìyára ara tó nǹkan bí ogójì sí ọgọ́ta [60] ìgbà ní ìṣẹ́jú kan.
How can I improve my sleep quality?,"To improve sleep quality: maintain a consistent sleep schedule, create a dark and cool sleeping environment, avoid screens before bedtime, limit caffeine and alcohol, exercise regularly but not close to bedtime, practice relaxation techniques, and ensure your mattress and pillows are comfortable.",Báwo ni mo ṣe lè mú kí oorun mi sunwọ̀n sí i?,"Ká lè mú kí oorun sunwọ̀n sí i: máa sùn déédéé, kó o máa sùn lọ́nà tó ṣókùnkùn, kó o má ṣe máa wojú tó o bá fẹ́ sùn, kó o má ṣe máa lo àwòrán tó ń mú kí o sùn, kó o má ṣe máa mu kálukú, kó o máa lo ara rẹ déédéé, àmọ́ kó o má ṣe máa sùn mọ́, kó o máa ṣe eré ìtura tó máa ń mú kó rọrùn, kó o sì máa rí i dájú pé ibùsùn àti ọrùn rẹ máa ń tuni lára."
What are the warning signs of skin cancer?,"Use the ABCDE rule: Asymmetry (one half doesn't match the other), Border irregularity, Color variation within the same mole, Diameter larger than a pencil eraser, and Evolution (changes in size, shape, or color). New moles or changing existing moles should be examined by a dermatologist.",Kí ni àwọn àmì tó ń kìlọ̀ fún àrùn jẹjẹrẹ awọ?,"Lo ìlànà ABCDE: Àìṣe-fún-ẹ̀mí (ìyàtọ̀ kan kò bá àtúnṣe kejì mu), Ìyàtọ̀ ààlà ààlà, Ìyàtọ̀ àwọ̀ nínú ọ̀kan náà, Ìlà tó tóbi ju ọ̀dà ààlà ààlà, àti Ìyípadà (ìyípadà nínú àwọ̀, ìrísí tàbí àwọ̀)."
How often should I exercise for good health?,"Adults should aim for at least 150 minutes of moderate-intensity aerobic activity or 75 minutes of vigorous-intensity activity per week, plus muscle-strengthening activities at least 2 days per week. This can be broken down into 30 minutes, 5 days a week.",Báwo ni mo ṣe lè máa ṣe eré ìmárale déédéé kí ara mi lè le?,"Àwọn àgbàlagbà gbọ́dọ̀ máa ṣe eré ìmárale tó ń mú kí ara máa gbóná fún nǹkan bí àádọ́jọ ìṣẹ́jú ní ìdajì tàbí àádọ́rin àádọ́rin ìṣẹ́jú ní ìdajì ní ọ̀sẹ̀, kí wọ́n sì máa ṣe eré ìmárale tó ń mú kí iṣan máa lágbára fún nǹkan bí ọjọ́ méjì lọ́sẹ̀."
What are the symptoms of anxiety disorders?,"Symptoms of anxiety disorders include excessive worry, restlessness, fatigue, difficulty concentrating, irritability, muscle tension, and sleep disturbances. Physical symptoms may include rapid heartbeat, sweating, trembling, and gastrointestinal issues. Symptoms interfere with daily functioning.",Kí ni àwọn àmì tí àárẹ̀ ọkàn ń fà?,"Àwọn àmì tó ń fa ìdààmú ọkàn ni àníyàn, àìró, ìdààmú, àìlera fífi ara ẹni sọ́kàn, ìrẹ̀wẹ̀sì, ìnira, ìnira, àti àìsàn oorun. Àwọn àmì tó ń fa ìdààmú ọkàn lè jẹ́ ìrọ́kánjú, ìdọ̀tí, ìrẹ̀wẹ̀sì àti àwọn ìṣòro inú ilé."
How can I prevent kidney stones?,"Prevent kidney stones by drinking plenty of water, reducing sodium intake, eating adequate calcium but limiting vitamin C supplements, reducing animal protein consumption, and avoiding foods high in oxalates if you've had calcium oxalate stones. Maintain a healthy weight and stay active.",Báwo ni mo ṣe lè dáàbò bo ara mi lọ́wọ́ àwọn àìsàn tó ń ṣe ìkókó?,"Máa mu omi tó pọ̀, má ṣe lo sọ́dọ́ tó pọ̀, má ṣe jẹ èròjà kálisi tó pọ̀ tó, má sì lo àwọn èròjà tó ń jẹ́ vitamin C, má ṣe jẹ àwọn èròjà protein tó pọ̀ nínú ẹran, má sì jẹ àwọn oúnjẹ tó ní èròjà oxalate tó pọ̀ tó, má sì jẹ àwọn èròjà oxalate tó ní èròjà kálisi."
What vaccinations do adults need?,"Adults should stay current with flu shots (annually), Tdap (every 10 years), and consider vaccines based on age, health conditions, and lifestyle: HPV, hepatitis A/B, meningococcal, pneumococcal, shingles (for those 50+), and travel-specific vaccines as needed.",Àwọn àjẹsára wo làwọn àgbàlagbà nílò?,"Àwọn àgbàlagbà yẹ kí wọ́n máa gba àwọn àjẹsára àríkàngbé (láti ọdún kan), Tdap (láti ọdún mẹ́wàá), kí wọ́n sì máa ronú nípa àwọn àjẹsára tó dá lórí ọjọ́ orí, ìlera àti ìgbé ayé: HPV, àìsàn hepatitis A/B, àrùn mẹ́ńńgókókó, àrùn pneumococccal, àrùn àjàrà (láti àwọn ẹni ọdún márùnléláàádọ́ta) àti àwọn àjẹsára tí wọ́n lè ṣe lórí ìrìn àjò bí ó bá ṣe yẹ."
What is the difference between Type 1 and Type 2 diabetes?,"Type 1 diabetes is an autoimmune condition where the body doesn't produce insulin, typically developing in childhood or young adulthood. Type 2 diabetes occurs when the body becomes resistant to insulin or doesn't produce enough, usually developing in adults and often linked to lifestyle factors.",Kí ni ìyàtọ̀ tó wà láàárín àrùn àtọ̀gbẹ Àbùdá 1 àti Àbùdá 2?,"Àrùn àtọ̀gbẹ́ àtọ̀gbẹ́ ti ẹ̀yà 1 jẹ́ àrùn tó ń fa àrùn ara ẹni tí kò lè mú insulin jáde, èyí tó sábà máa ń wáyé nígbà ọmọdé tàbí ìgbà ọ̀dọ́mọdé. Àìsàn àtọ̀gbẹ́ ẹ̀yà 2 máa ń wáyé nígbà tí ara bá di èyí tí kò lè mú insulin jáde tàbí tí kò sì lè mú èròjà insulin tó pọ̀ jáde, èyí tó sábà máa ń wáyé nínú àwọn àgbàlagbà, èyí tó sì máa ń ní í ṣe pẹ̀lú àwọn ohun tó ń fa ìgbésí ayé."
How can I lower my cholesterol levels?,"Lower cholesterol by eating a diet rich in fiber, choosing lean proteins, limiting saturated and trans fats, exercising regularly, maintaining a healthy weight, not smoking, and limiting alcohol. Foods like oats, beans, nuts, and fatty fish can help. Medication may be needed in some cases.",Báwo ni mo ṣe lè dín kọ́lẹ́sítélì kù?,"Ó lè dín kọ́lẹ́stérólì kù nípa jíjẹ oúnjẹ tó ní èròjà fiber, fífi àwọn èròjà protein tó ń mú kí ara rẹ̀ tútù, fífi àwọn èròjà òwúù tó nídín àti èròjà òwúù tó ń mú kí ara rẹ̀ tútù dín kù, ṣíṣe eré ìmárale déédéé, jíjẹ oúnjẹ tó ń mú kí ara rẹ̀ le, kò sì mu sìgá, àti jímu ọtí."
